,date,weekday,hour,region_id,region_mean
0,2019-04-01,0,0,0,14.064452846450369
1,2019-04-01,0,0,3,20.866165413533835
2,2019-04-01,0,0,6,16.250464497414498
3,2019-04-01,0,0,10,16.253286043923318
4,2019-04-01,0,0,13,9.560784313725488
5,2019-04-01,0,0,16,
6,2019-04-01,0,0,19,8.901909141583054
7,2019-04-01,0,0,22,8.263157894736842
8,2019-04-01,0,0,26,22.390425358883913
9,2019-04-01,0,0,29,5.85067741818314
10,2019-04-01,0,0,32,
11,2019-04-01,0,0,35,
12,2019-04-01,0,0,38,22.476018808777432
13,2019-04-01,0,0,41,23.863636363636363
14,2019-04-01,0,0,45,18.734310134310135
15,2019-04-01,0,0,48,27.434481109516977
16,2019-04-01,0,0,51,9.0
17,2019-04-01,0,0,54,
18,2019-04-01,0,0,57,14.647783251231527
19,2019-04-01,0,0,61,11.965478716846889
20,2019-04-01,0,0,64,
21,2019-04-01,0,0,67,20.528885228187534
22,2019-04-01,0,0,70,10.22560836964963
23,2019-04-01,0,0,73,15.361434487871072
24,2019-04-01,0,0,76,19.037226612594747
25,2019-04-01,0,0,80,17.937856484018283
26,2019-04-01,0,0,83,
27,2019-04-01,0,0,86,13.624874678046993
28,2019-04-01,0,0,89,7.577200755178732
29,2019-04-01,0,0,92,12.035526914554532
30,2019-04-01,0,0,96,9.808247128006435
31,2019-04-01,0,0,99,13.604894974852861
32,2019-04-01,0,0,102,8.807594876525348
33,2019-04-01,0,0,105,11.262290986726741
34,2019-04-01,0,0,108,15.481772635527037
35,2019-04-01,0,0,112,13.835791519824504
36,2019-04-01,0,0,115,12.731549770160512
37,2019-04-01,0,0,118,8.411710031118456
38,2019-04-01,0,0,121,
39,2019-04-01,0,0,124,7.629006385760398
40,2019-04-01,0,0,128,8.431162587412587
41,2019-04-01,0,0,131,
42,2019-04-01,0,0,134,16.405806916538737
43,2019-04-01,0,0,137,9.071373761696155
44,2019-04-01,0,0,140,16.708958366268504
45,2019-04-01,0,0,143,9.521317829457365
46,2019-04-01,0,0,147,7.0550437467833245
47,2019-04-01,0,0,150,11.587509154283564
48,2019-04-01,0,0,153,11.914353246576297
