date,weekday,hour,region_id,region_mean_volume
2020-04-01,2,0,0,6.950762433235389
2020-04-01,2,0,8,5.1058364237084035
2020-04-01,2,0,15,6.499926219056544
2020-04-01,2,0,23,8.37936312090281
2020-04-01,2,0,31,6.162631821266457
2020-04-01,2,0,39,8.209338354498934
2020-04-01,2,0,46,16.538278879013596
2020-04-01,2,0,54,5.052357900581472
2020-04-01,2,0,62,5.0917942277050985
2020-04-01,2,0,70,5.206035443074362
2020-04-01,2,0,77,8.889006403651338
2020-04-01,2,0,85,7.18181479995713
2020-04-01,2,0,93,8.436986653885226
2020-04-01,2,0,100,6.474270805564606
2020-04-01,2,0,108,6.155463092191164
2020-04-01,2,0,116,7.712659312582909
2020-04-01,2,0,124,5.9049924234938125
2020-04-01,2,0,131,6.6747848722625704
2020-04-01,2,0,139,7.191075438771076
2020-04-01,2,0,147,7.9438621367025455
2020-04-01,2,0,155,4.85586288567676
2020-04-01,2,0,162,5.188240140841929
2020-04-01,2,0,170,6.210432531728253
2020-04-01,2,0,178,10.435027513402359
2020-04-01,2,0,185,10.711956754671961
2020-04-01,2,0,193,10.349161340240109
2020-04-01,2,0,201,6.493534868302588
2020-04-01,2,0,209,8.610007908687582
2020-04-01,2,0,216,5.384899410628677
2020-04-01,2,0,224,5.366672419002545
2020-04-01,2,0,232,5.333245750453783
2020-04-01,2,0,240,7.746059117429117
2020-04-01,2,0,247,5.80913101712633
2020-04-01,2,1,0,6.407245752459168
2020-04-01,2,1,8,5.0486633608526486
2020-04-01,2,1,15,6.388294837160518
2020-04-01,2,1,23,4.982186536813188
2020-04-01,2,1,31,6.5702298486485065
2020-04-01,2,1,39,5.097968005224455
2020-04-01,2,1,46,6.684828365069129
2020-04-01,2,1,54,5.422002634434247
2020-04-01,2,1,62,5.266994616479952
2020-04-01,2,1,70,5.8928532413054695
2020-04-01,2,1,77,6.274221913011547
2020-04-01,2,1,85,6.335137051808307
2020-04-01,2,1,93,6.324681371544099
2020-04-01,2,1,100,6.693637654552039
2020-04-01,2,1,108,7.002199563650862
2020-04-01,2,1,116,4.9765436073210685
2020-04-01,2,1,124,6.871861557251308
2020-04-01,2,1,131,6.360953345232023
2020-04-01,2,1,139,6.756942974742336
2020-04-01,2,1,147,5.718976565139188
2020-04-01,2,1,155,4.672254811401542
2020-04-01,2,1,162,5.95312850996863
2020-04-01,2,1,170,4.748720590868873
2020-04-01,2,1,178,5.543221489255885
2020-04-01,2,1,185,5.5009723580228425
2020-04-01,2,1,193,5.5106221428054285
2020-04-01,2,1,201,6.410541686406834
2020-04-01,2,1,209,7.220570316523714
2020-04-01,2,1,216,4.988706459950441
2020-04-01,2,1,224,6.234812235862937
2020-04-01,2,1,232,5.894573537026763
2020-04-01,2,1,240,6.676373778397024
2020-04-01,2,1,247,6.62838099384504
2020-04-01,2,2,0,7.3132493990885745
2020-04-01,2,2,8,4.7125300316173115
2020-04-01,2,2,15,14.360749307512775
2020-04-01,2,2,23,6.062081287556317
2020-04-01,2,2,31,5.322302788801473
2020-04-01,2,2,39,4.776954213280259
2020-04-01,2,2,46,5.590455761752874
2020-04-01,2,2,54,4.749382304217819
2020-04-01,2,2,62,4.711287761648483
2020-04-01,2,2,70,8.68114305715477
2020-04-01,2,2,77,4.991133005209775
2020-04-01,2,2,85,5.625083135939913
2020-04-01,2,2,93,5.055062753919327
2020-04-01,2,2,100,12.426329526446743
2020-04-01,2,2,108,7.8372575663852775
2020-04-01,2,2,116,4.887016823160983
2020-04-01,2,2,124,7.7887540431656745
2020-04-01,2,2,131,5.031649880228788
2020-04-01,2,2,139,5.206208647003047
2020-04-01,2,2,147,6.1144939493828785
2020-04-01,2,2,155,4.4237580122687135
2020-04-01,2,2,162,4.962672386310008
2020-04-01,2,2,170,4.512396281710318
2020-04-01,2,2,178,5.119156231146995
2020-04-01,2,2,185,5.246157041154492
2020-04-01,2,2,193,5.046249220246752
2020-04-01,2,2,201,5.126414528512244
2020-04-01,2,2,209,9.919770700036764
2020-04-01,2,2,216,4.389757099006214
2020-04-01,2,2,224,4.943887491894403
2020-04-01,2,2,232,4.740090468609958
2020-04-01,2,2,240,5.173910984974366
2020-04-01,2,2,247,5.451724900601488
2020-04-01,2,3,0,5.820044246358666
2020-04-01,2,3,8,7.041654561632407
2020-04-01,2,3,15,5.639111921617098
