,date,weekday,hour,region_id,region_mean_volume
0,2019-04-01,0,0,0,7.8188661151326455
1,2019-04-01,0,0,8,6.481963476737061
2,2019-04-01,0,0,15,7.028706485822694
3,2019-04-01,0,0,23,5.1895947577415384
4,2019-04-01,0,0,31,8.75669533855576
5,2019-04-01,0,0,39,5.318237877862504
6,2019-04-01,0,0,46,6.055392026915382
7,2019-04-01,0,0,54,7.128891137484921
8,2019-04-01,0,0,62,6.772466241814458
9,2019-04-01,0,0,70,6.7433583457924815
10,2019-04-01,0,0,77,8.034674455624849
11,2019-04-01,0,0,85,5.888717583966831
12,2019-04-01,0,0,93,6.564843066210939
13,2019-04-01,0,0,100,7.492414031693253
14,2019-04-01,0,0,108,9.44502538136929
15,2019-04-01,0,0,116,6.3241749157623275
16,2019-04-01,0,0,124,13.163244247651724
17,2019-04-01,0,0,131,7.383226663049951
18,2019-04-01,0,0,139,7.690377720912303
19,2019-04-01,0,0,147,6.072058355305772
20,2019-04-01,0,0,155,6.688855627892212
21,2019-04-01,0,0,162,8.788861110738978
22,2019-04-01,0,0,170,6.308442504064155
23,2019-04-01,0,0,178,5.802649575095197
24,2019-04-01,0,0,185,6.337602800291781
25,2019-04-01,0,0,193,5.749887754661458
26,2019-04-01,0,0,201,7.402379752234778
27,2019-04-01,0,0,209,7.175851481435947
28,2019-04-01,0,0,216,6.0519633355342695
29,2019-04-01,0,0,224,12.49478315979632
30,2019-04-01,0,0,232,12.064251717560774
31,2019-04-01,0,0,240,10.095084186894844
32,2019-04-01,0,0,247,6.042153099941062
33,2019-04-01,0,1,0,7.6279636293213
34,2019-04-01,0,1,8,5.737975029664371
35,2019-04-01,0,1,15,8.040188206693223
36,2019-04-01,0,1,23,5.080774104028763
37,2019-04-01,0,1,31,8.105909095772729
38,2019-04-01,0,1,39,5.020111760141203
39,2019-04-01,0,1,46,5.135137797584923
40,2019-04-01,0,1,54,6.37669985170738
41,2019-04-01,0,1,62,6.4255070178750895
42,2019-04-01,0,1,70,6.046906571247998
43,2019-04-01,0,1,77,7.067073132881308
44,2019-04-01,0,1,85,5.98691204035101
45,2019-04-01,0,1,93,5.67735059128769
46,2019-04-01,0,1,100,7.232360239869928
47,2019-04-01,0,1,108,9.257984022857954
48,2019-04-01,0,1,116,6.285905847083319
49,2019-04-01,0,1,124,12.206247885647755
50,2019-04-01,0,1,131,6.082061441213304
51,2019-04-01,0,1,139,6.855995329957891
52,2019-04-01,0,1,147,5.495834078538423
53,2019-04-01,0,1,155,8.043602130726349
54,2019-04-01,0,1,162,8.432278766353443
55,2019-04-01,0,1,170,6.53969934255806
56,2019-04-01,0,1,178,5.718959602883903
57,2019-04-01,0,1,185,5.85640829251113
58,2019-04-01,0,1,193,5.170779415165709
59,2019-04-01,0,1,201,6.474716399237974
60,2019-04-01,0,1,209,6.670034054171834
61,2019-04-01,0,1,216,6.487284377664341
