rel,way,tags,region
92053,872380846,"{'admin_level': '6', 'boundary': 'administrative', 'name': 'เขตพระนคร', 'name:de': 'Bezirk Phra Nakhon', 'name:en': 'Phra Nakhon District', 'name:th': 'เขตพระนคร', 'name:th-Latn': 'Khet Phra Nakhon', 'population': '52522', 'postal_code': '10200', 'short_name': 'พระนคร', 'type': 'boundary', 'wikidata': 'Q1525441'}",เขตพระนคร
92053,872380854,"{'admin_level': '6', 'boundary': 'administrative', 'name': 'เขตพระนคร', 'name:de': 'Bezirk Phra Nakhon', 'name:en': 'Phra Nakhon District', 'name:th': 'เขตพระนคร', 'name:th-Latn': 'Khet Phra Nakhon', 'population': '52522', 'postal_code': '10200', 'short_name': 'พระนคร', 'type': 'boundary', 'wikidata': 'Q1525441'}",เขตพระนคร
92053,124920951,"{'admin_level': '6', 'boundary': 'administrative', 'name': 'เขตพระนคร', 'name:de': 'Bezirk Phra Nakhon', 'name:en': 'Phra Nakhon District', 'name:th': 'เขตพระนคร', 'name:th-Latn': 'Khet Phra Nakhon', 'population': '52522', 'postal_code': '10200', 'short_name': 'พระนคร', 'type': 'boundary', 'wikidata': 'Q1525441'}",เขตพระนคร
92053,832948807,"{'admin_level': '6', 'boundary': 'administrative', 'name': 'เขตพระนคร', 'name:de': 'Bezirk Phra Nakhon', 'name:en': 'Phra Nakhon District', 'name:th': 'เขตพระนคร', 'name:th-Latn': 'Khet Phra Nakhon', 'population': '52522', 'postal_code': '10200', 'short_name': 'พระนคร', 'type': 'boundary', 'wikidata': 'Q1525441'}",เขตพระนคร
92053,222219406,"{'admin_level': '6', 'boundary': 'administrative', 'name': 'เขตพระนคร', 'name:de': 'Bezirk Phra Nakhon', 'name:en': 'Phra Nakhon District', 'name:th': 'เขตพระนคร', 'name:th-Latn': 'Khet Phra Nakhon', 'population': '52522', 'postal_code': '10200', 'short_name': 'พระนคร', 'type': 'boundary', 'wikidata': 'Q1525441'}",เขตพระนคร
92053,784180122,"{'admin_level': '6', 'boundary': 'administrative', 'name': 'เขตพระนคร', 'name:de': 'Bezirk Phra Nakhon', 'name:en': 'Phra Nakhon District', 'name:th': 'เขตพระนคร', 'name:th-Latn': 'Khet Phra Nakhon', 'population': '52522', 'postal_code': '10200', 'short_name': 'พระนคร', 'type': 'boundary', 'wikidata': 'Q1525441'}",เขตพระนคร
92053,830801789,"{'admin_level': '6', 'boundary': 'administrative', 'name': 'เขตพระนคร', 'name:de': 'Bezirk Phra Nakhon', 'name:en': 'Phra Nakhon District', 'name:th': 'เขตพระนคร', 'name:th-Latn': 'Khet Phra Nakhon', 'population': '52522', 'postal_code': '10200', 'short_name': 'พระนคร', 'type': 'boundary', 'wikidata': 'Q1525441'}",เขตพระนคร
92053,784180121,"{'admin_level': '6', 'boundary': 'administrative', 'name': 'เขตพระนคร', 'name:de': 'Bezirk Phra Nakhon', 'name:en': 'Phra Nakhon District', 'name:th': 'เขตพระนคร', 'name:th-Latn': 'Khet Phra Nakhon', 'population': '52522', 'postal_code': '10200', 'short_name': 'พระนคร', 'type': 'boundary', 'wikidata': 'Q1525441'}",เขตพระนคร
92053,222143516,"{'admin_level': '6', 'boundary': 'administrative', 'name': 'เขตพระนคร', 'name:de': 'Bezirk Phra Nakhon', 'name:en': 'Phra Nakhon District', 'name:th': 'เขตพระนคร', 'name:th-Latn': 'Khet Phra Nakhon', 'population': '52522', 'postal_code': '10200', 'short_name': 'พระนคร', 'type': 'boundary', 'wikidata': 'Q1525441'}",เขตพระนคร
92053,783824643,"{'admin_level': '6', 'boundary': 'administrative', 'name': 'เขตพระนคร', 'name:de': 'Bezirk Phra Nakhon', 'name:en': 'Phra Nakhon District', 'name:th': 'เขตพระนคร', 'name:th-Latn': 'Khet Phra Nakhon', 'population': '52522', 'postal_code': '10200', 'short_name': 'พระนคร', 'type': 'boundary', 'wikidata': 'Q1525441'}",เขตพระนคร
