rel,way,tags,region
339490,45314867,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Santa Maria de Martorelles', 'ine:municipio': '08256', 'name': 'Santa Maria de Martorelles', 'name:ca': 'Santa Maria de Martorelles', 'population': '839', 'population:date': '2009', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q15455', 'wikipedia': 'es:Santa Maria de Martorelles'}",Santa Maria de Martorelles
339490,45314868,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Santa Maria de Martorelles', 'ine:municipio': '08256', 'name': 'Santa Maria de Martorelles', 'name:ca': 'Santa Maria de Martorelles', 'population': '839', 'population:date': '2009', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q15455', 'wikipedia': 'es:Santa Maria de Martorelles'}",Santa Maria de Martorelles
339490,45314869,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Santa Maria de Martorelles', 'ine:municipio': '08256', 'name': 'Santa Maria de Martorelles', 'name:ca': 'Santa Maria de Martorelles', 'population': '839', 'population:date': '2009', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q15455', 'wikipedia': 'es:Santa Maria de Martorelles'}",Santa Maria de Martorelles
339490,45314870,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Santa Maria de Martorelles', 'ine:municipio': '08256', 'name': 'Santa Maria de Martorelles', 'name:ca': 'Santa Maria de Martorelles', 'population': '839', 'population:date': '2009', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q15455', 'wikipedia': 'es:Santa Maria de Martorelles'}",Santa Maria de Martorelles
339490,45314871,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Santa Maria de Martorelles', 'ine:municipio': '08256', 'name': 'Santa Maria de Martorelles', 'name:ca': 'Santa Maria de Martorelles', 'population': '839', 'population:date': '2009', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q15455', 'wikipedia': 'es:Santa Maria de Martorelles'}",Santa Maria de Martorelles
339490,45314872,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Santa Maria de Martorelles', 'ine:municipio': '08256', 'name': 'Santa Maria de Martorelles', 'name:ca': 'Santa Maria de Martorelles', 'population': '839', 'population:date': '2009', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q15455', 'wikipedia': 'es:Santa Maria de Martorelles'}",Santa Maria de Martorelles
339614,45316281,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Castellbell i el Vilar', 'ine:municipio': '08053', 'name': 'Castellbell i el Vilar', 'name:ca': 'Castellbell i el Vilar', 'population': '3731', 'population:date': '2009', 'postal_code': '08296', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q16684', 'wikipedia': 'ca:Castellbell i el Vilar'}",Castellbell i el Vilar
339614,45316280,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Castellbell i el Vilar', 'ine:municipio': '08053', 'name': 'Castellbell i el Vilar', 'name:ca': 'Castellbell i el Vilar', 'population': '3731', 'population:date': '2009', 'postal_code': '08296', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q16684', 'wikipedia': 'ca:Castellbell i el Vilar'}",Castellbell i el Vilar
339614,45316277,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Castellbell i el Vilar', 'ine:municipio': '08053', 'name': 'Castellbell i el Vilar', 'name:ca': 'Castellbell i el Vilar', 'population': '3731', 'population:date': '2009', 'postal_code': '08296', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q16684', 'wikipedia': 'ca:Castellbell i el Vilar'}",Castellbell i el Vilar
339614,45316283,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Castellbell i el Vilar', 'ine:municipio': '08053', 'name': 'Castellbell i el Vilar', 'name:ca': 'Castellbell i el Vilar', 'population': '3731', 'population:date': '2009', 'postal_code': '08296', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q16684', 'wikipedia': 'ca:Castellbell i el Vilar'}",Castellbell i el Vilar
339614,401180404,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Castellbell i el Vilar', 'ine:municipio': '08053', 'name': 'Castellbell i el Vilar', 'name:ca': 'Castellbell i el Vilar', 'population': '3731', 'population:date': '2009', 'postal_code': '08296', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q16684', 'wikipedia': 'ca:Castellbell i el Vilar'}",Castellbell i el Vilar
339614,45316278,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Castellbell i el Vilar', 'ine:municipio': '08053', 'name': 'Castellbell i el Vilar', 'name:ca': 'Castellbell i el Vilar', 'population': '3731', 'population:date': '2009', 'postal_code': '08296', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q16684', 'wikipedia': 'ca:Castellbell i el Vilar'}",Castellbell i el Vilar
339614,401180408,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Castellbell i el Vilar', 'ine:municipio': '08053', 'name': 'Castellbell i el Vilar', 'name:ca': 'Castellbell i el Vilar', 'population': '3731', 'population:date': '2009', 'postal_code': '08296', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q16684', 'wikipedia': 'ca:Castellbell i el Vilar'}",Castellbell i el Vilar
339614,45316276,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Castellbell i el Vilar', 'ine:municipio': '08053', 'name': 'Castellbell i el Vilar', 'name:ca': 'Castellbell i el Vilar', 'population': '3731', 'population:date': '2009', 'postal_code': '08296', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q16684', 'wikipedia': 'ca:Castellbell i el Vilar'}",Castellbell i el Vilar
339616,45316302,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Castellar del Vallès', 'ine:municipio': '08051', 'name': 'Castellar del Vallès', 'name:ca': 'Castellar del Vallès', 'population': '23129', 'population:date': '2009', 'postal_code': '08211', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q13918', 'wikipedia': 'ca:Castellar del Vallès'}",Castellar del Vallès
339616,45316299,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Castellar del Vallès', 'ine:municipio': '08051', 'name': 'Castellar del Vallès', 'name:ca': 'Castellar del Vallès', 'population': '23129', 'population:date': '2009', 'postal_code': '08211', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q13918', 'wikipedia': 'ca:Castellar del Vallès'}",Castellar del Vallès
339616,45316298,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Castellar del Vallès', 'ine:municipio': '08051', 'name': 'Castellar del Vallès', 'name:ca': 'Castellar del Vallès', 'population': '23129', 'population:date': '2009', 'postal_code': '08211', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q13918', 'wikipedia': 'ca:Castellar del Vallès'}",Castellar del Vallès
339616,45316305,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Castellar del Vallès', 'ine:municipio': '08051', 'name': 'Castellar del Vallès', 'name:ca': 'Castellar del Vallès', 'population': '23129', 'population:date': '2009', 'postal_code': '08211', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q13918', 'wikipedia': 'ca:Castellar del Vallès'}",Castellar del Vallès
339616,45316303,"{'admin_level': '8', 'boundary': 'administrative', 'idee:name': 'Castellar del Vallès', 'ine:municipio': '08051', 'name': 'Castellar del Vallès', 'name:ca': 'Castellar del Vallès', 'population': '23129', 'population:date': '2009', 'postal_code': '08211', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q13918', 'wikipedia': 'ca:Castellar del Vallès'}",Castellar del Vallès
339617,161387184,"{'admin_level': '8', 'boundary': 'administrative', 'capital': '8', 'idee:name': 'Castelldefels', 'ine:municipio': '08056', 'name': 'Castelldefels', 'name:ca': 'Castelldefels', 'population': '62250', 'population:date': '2009', 'postal_code': '08860', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q15597', 'wikipedia': 'ca:Castelldefels'}",Castelldefels
339617,161387188,"{'admin_level': '8', 'boundary': 'administrative', 'capital': '8', 'idee:name': 'Castelldefels', 'ine:municipio': '08056', 'name': 'Castelldefels', 'name:ca': 'Castelldefels', 'population': '62250', 'population:date': '2009', 'postal_code': '08860', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q15597', 'wikipedia': 'ca:Castelldefels'}",Castelldefels
339617,45316307,"{'admin_level': '8', 'boundary': 'administrative', 'capital': '8', 'idee:name': 'Castelldefels', 'ine:municipio': '08056', 'name': 'Castelldefels', 'name:ca': 'Castelldefels', 'population': '62250', 'population:date': '2009', 'postal_code': '08860', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q15597', 'wikipedia': 'ca:Castelldefels'}",Castelldefels
339617,45316306,"{'admin_level': '8', 'boundary': 'administrative', 'capital': '8', 'idee:name': 'Castelldefels', 'ine:municipio': '08056', 'name': 'Castelldefels', 'name:ca': 'Castelldefels', 'population': '62250', 'population:date': '2009', 'postal_code': '08860', 'source': 'BDLL25, EGRN, Instituto Geográfico Nacional', 'type': 'boundary', 'wikidata': 'Q15597', 'wikipedia': 'ca:Castelldefels'}",Castelldefels
